school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,performance,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,subject_Portuguese
0,0,1.0278894669433536,0,1,1,1.2420774405755364,1.466302156522779,0.6522102445907456,0.03560568590174467,-0.403105743590996,1,0,0,0,1,1,0,0,0.06878824724308273,-0.19509888245848667,0.7325114838043248,-0.5423735976260254,-0.9999949952580068,-0.381387268134171,0.25215459693361225,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0.22103487785398448,0,1,0,-1.4260889132533936,-1.262431268450093,-0.7150738826235884,0.03560568590174467,-0.403105743590996,0,1,0,0,0,1,1,0,1.1406528759263421,-0.19509888245848667,-0.13552709632247995,-0.5423735976260254,-0.9999949952580068,-0.381387268134171,-0.07006008996809053,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,-1.3926743003247537,0,0,0,-1.4260889132533936,-1.262431268450093,-0.7150738826235884,0.03560568590174467,4.171268129332915,1,0,1,0,1,1,1,0,0.06878824724308273,-0.19509888245848667,-1.0035656764492848,0.5549869371057006,0.5570441919893597,-0.381387268134171,0.8965839707370178,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
0,0,-1.3926743003247537,0,1,0,1.2420774405755364,-0.35285346012580227,-0.7150738826235884,1.2347133014314717,-0.403105743590996,0,1,1,1,1,1,1,1,-1.0030763814401766,-1.1650190409663912,-1.0035656764492848,-0.5423735976260254,-0.9999949952580068,1.0230864811853158,-0.39227477686979334,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,-0.5858197112353846,0,1,0,0.35268865596589305,0.5567243481984884,-0.7150738826235884,0.03560568590174467,-0.403105743590996,0,1,1,0,1,1,0,0,0.06878824724308273,-0.19509888245848667,-1.0035656764492848,-0.5423735976260254,-0.22147540163432355,1.0230864811853158,-0.07006008996809053,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1,-0.5858197112353846,0,0,0,1.2420774405755364,0.5567243481984884,-0.7150738826235884,0.03560568590174467,-0.403105743590996,0,1,1,1,1,1,1,0,1.1406528759263421,0.7748212760494178,-1.0035656764492848,-0.5423735976260254,-0.22147540163432355,1.0230864811853158,0.8965839707370178,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
0,1,-0.5858197112353846,0,0,0,-0.5367001286437503,-0.35285346012580227,-0.7150738826235884,0.03560568590174467,-0.403105743590996,0,0,0,0,1,1,1,0,0.06878824724308273,0.7748212760494178,0.7325114838043248,-0.5423735976260254,-0.9999949952580068,-0.381387268134171,-0.7144894637714961,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,0,0.22103487785398448,0,1,1,1.2420774405755364,1.466302156522779,0.6522102445907456,0.03560568590174467,-0.403105743590996,1,1,0,0,1,1,0,0,0.06878824724308273,-2.1349391994742954,0.7325114838043248,-0.5423735976260254,-0.9999949952580068,-1.7858610174536578,0.25215459693361225,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
0,1,-1.3926743003247537,0,0,1,0.35268865596589305,-0.35285346012580227,-0.7150738826235884,0.03560568590174467,-0.403105743590996,0,1,1,0,1,1,1,0,0.06878824724308273,-1.1650190409663912,-1.0035656764492848,-0.5423735976260254,-0.9999949952580068,-1.7858610174536578,-0.7144894637714961,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,1,-1.3926743003247537,0,1,0,0.35268865596589305,1.466302156522779,-0.7150738826235884,0.03560568590174467,-0.403105743590996,0,1,1,1,1,1,1,0,1.1406528759263421,1.7447414345573222,-1.8716042565760895,-0.5423735976260254,-0.9999949952580068,1.0230864811853158,-0.7144894637714961,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,0,-1.3926743003247537,0,1,0,1.2420774405755364,1.466302156522779,-0.7150738826235884,0.03560568590174467,-0.403105743590996,0,1,1,0,1,1,1,0,-1.0030763814401766,-0.19509888245848667,-0.13552709632247995,-0.5423735976260254,-0.22147540163432355,-1.0836241427939144,-0.7144894637714961,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
0,0,-1.3926743003247537,0,1,0,-0.5367001286437503,-1.262431268450093,2.0194943718050795,1.2347133014314717,-0.403105743590996,0,1,0,1,1,1,1,0,1.1406528759263421,-1.1650190409663912,-1.0035656764492848,-0.5423735976260254,-0.9999949952580068,0.3208496065255724,-0.07006008996809053,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,1,-1.3926743003247537,0,0,0,1.2420774405755364,1.466302156522779,-0.7150738826235884,-1.1635019296279825,-0.403105743590996,0,1,1,1,1,1,1,0,0.06878824724308273,-0.19509888245848667,-0.13552709632247995,-0.5423735976260254,0.5570441919893597,1.0230864811853158,-0.39227477686979334,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,-1.3926743003247537,0,1,0,1.2420774405755364,0.5567243481984884,0.6522102445907456,0.03560568590174467,-0.403105743590996,0,1,1,0,1,1,1,0,1.1406528759263421,0.7748212760494178,-0.13552709632247995,-0.5423735976260254,-0.22147540163432355,-0.381387268134171,-0.39227477686979334,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,1,-1.3926743003247537,0,1,1,-0.5367001286437503,-0.35285346012580227,-0.7150738826235884,1.2347133014314717,-0.403105743590996,0,1,0,0,1,1,1,1,0.06878824724308273,1.7447414345573222,-1.0035656764492848,-0.5423735976260254,-0.9999949952580068,-0.381387268134171,-0.7144894637714961,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,0,-0.5858197112353846,0,1,0,1.2420774405755364,1.466302156522779,-0.7150738826235884,-1.1635019296279825,-0.403105743590996,0,1,0,0,1,1,1,0,0.06878824724308273,0.7748212760494178,0.7325114838043248,-0.5423735976260254,-0.22147540163432355,-1.0836241427939144,-0.07006008996809053,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,0,-0.5858197112353846,0,1,0,1.2420774405755364,1.466302156522779,-0.7150738826235884,1.2347133014314717,-0.403105743590996,0,1,1,1,1,1,1,0,-1.0030763814401766,-1.1650190409663912,-0.13552709632247995,-0.5423735976260254,-0.22147540163432355,-1.0836241427939144,0.25215459693361225,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
